iter	Passed	Remaining
398	131495	33285
399	131797	32949
400	132073	32606
401	132402	32277
402	132749	31952
403	133039	31613
404	133346	31278
405	133691	30953
406	133984	30615
407	134286	30280
408	134600	29947
409	134957	29624
410	135257	29289
411	135549	28952
412	135886	28625
413	136199	28292
414	136498	27957
415	136813	27625
416	137106	27289
417	137404	26955
418	137694	26618
419	137999	26285
420	138296	25951
421	138606	25619
422	138916	25287
423	139215	24953
424	139519	24621
425	139842	24291
426	140216	23971
427	140511	23637
428	140784	23300
429	141121	22973
430	141402	22637
431	141721	22307
432	142053	21980
433	142456	21663
434	142766	21332
435	143116	21007
436	143394	20672
437	143690	20339
438	143966	20004
439	144310	19678
440	144625	19348
441	144923	19017
442	145249	18688
443	145547	18357
444	145849	18026
445	146113	17690
446	146459	17365
447	146744	17032
448	147038	16701
449	147402	16378
450	147689	16046
451	148016	15718
452	148337	15390
453	148630	15059
454	148923	14728
455	149205	14397
456	149573	14073
457	149856	13742
458	150149	13412
459	150453	13082
460	150738	12752
461	151037	12422
462	151324	12092
463	151689	11768
464	151977	11439
465	152305	11112
466	152660	10787
467	152963	10459
468	153274	10131
469	153638	9806
470	153920	9477
471	154190	9146
472	154488	8818
473	154833	8492
474	155116	8164
475	155418	7836
476	155746	7509
477	156067	7183
478	156375	6855
479	156666	6527
480	156980	6200
481	157266	5873
482	157571	5546
483	157943	5221
484	158391	4898
485	158716	4572
486	159120	4247
487	159426	3920
488	159738	3593
489	160108	3267
490	160525	2942
491	160902	2616
492	161236	2289
493	161544	1962
494	161909	1635
495	162253	1308
496	162663	981
497	163077	654
498	163377	327
499	163753	0
