iter	Logloss	Accuracy
164	0.548783742	0.7308737832
165	0.5478978376	0.7318741453
166	0.547661027	0.7320334653
167	0.5472040679	0.7324888376
168	0.5467862487	0.7321456705
169	0.5464208041	0.7326607878
170	0.5459430796	0.7336412349
171	0.5453639507	0.7342333396
172	0.5448282599	0.7349250192
173	0.5442995914	0.7351865869
174	0.5437616787	0.7356519167
175	0.5431952131	0.7367737082
176	0.5427408987	0.7368958709
177	0.5424821533	0.7373512432
178	0.5422675422	0.7373213707
179	0.542041786	0.7376599257
180	0.54167494	0.738254703
181	0.5406337474	0.7388766801
182	0.5402467412	0.7393519674
183	0.5399188813	0.7403496569
184	0.5396202166	0.7398996299
185	0.5391941576	0.739230538
186	0.538725441	0.7394323607
187	0.5382928308	0.7404970799
188	0.5377616922	0.7412910072
189	0.5373897608	0.7413733399
190	0.5369767598	0.7423013268
191	0.5365016919	0.7429658066
192	0.5360385225	0.7434510514
193	0.5355803359	0.7440929436
194	0.5353912823	0.744282136
195	0.5350581692	0.7442748512
196	0.5347907734	0.7443146812
197	0.5344304646	0.7448045382
198	0.5340728432	0.7450661058
199	0.5336901803	0.7457206282
200	0.5330830662	0.745457121
201	0.5327582094	0.7469944549
202	0.5322965129	0.7473230524
203	0.5320323498	0.7476861345
204	0.5314463385	0.7491644566
205	0.5309378406	0.7500054987
206	0.5306308877	0.750281636
207	0.5299802078	0.750819341
208	0.5294556399	0.7509016737
209	0.5289391845	0.7520487256
210	0.5282853436	0.7527901928
211	0.5277742325	0.7529322704
212	0.5271152978	0.7548679043
213	0.5268492724	0.7550272243
214	0.5262188347	0.7559080964
215	0.5259121742	0.7559877564
216	0.5255700716	0.7563734262
217	0.5250176832	0.7564783466
218	0.5247036809	0.7564212743
219	0.5242209119	0.7567299568
220	0.5236286284	0.7572278317
221	0.523193919	0.7570413119
222	0.522381254	0.7572630496
223	0.5220574891	0.7579846017
224	0.5215701344	0.7590022062
225	0.5212860719	0.7594177485
226	0.5204294441	0.7605920002
227	0.5198297448	0.7613660125
228	0.5195677811	0.761515375
229	0.5191492981	0.7619607898
230	0.5187356013	0.7625256946
231	0.5183530761	0.7627175598
232	0.5176388	0.7631629746
233	0.5171643448	0.7638048667
234	0.5167082732	0.7637278794
235	0.5161830094	0.7643027417
236	0.5156316332	0.7655765685
237	0.5150828756	0.7659993956
238	0.5145212888	0.7659151234
239	0.514044518	0.7665298157
240	0.513272175	0.7668159106
241	0.5129014058	0.767224168
242	0.5123460986	0.7678986053
243	0.5118367568	0.7686998175
244	0.5113100648	0.7691253173
245	0.5109061405	0.7699437717
246	0.5106966162	0.7694114121
247	0.5099917207	0.7697373369
248	0.5097341404	0.7701927092
249	0.5089309857	0.771048321
250	0.5084358694	0.7716702981
251	0.5082081726	0.7720460104
252	0.5077641754	0.7723746079
253	0.5074150002	0.77321565
254	0.5070056527	0.7732654375
255	0.5068533389	0.7734148
256	0.5063829501	0.7734998054
257	0.5059675194	0.7737659852
258	0.5055205271	0.7744231802
259	0.5051865355	0.7753339248
260	0.504941237	0.7752569374
261	0.5045080052	0.7756751524
262	0.5038578988	0.7760906947
263	0.503208903	0.7765062371
264	0.5026257849	0.7774070242
265	0.5021577704	0.7778823115
266	0.5017482308	0.7776387193
267	0.501347959	0.7782407815
268	0.5008710688	0.7787459413
269	0.5005234008	0.7792112711
270	0.4999269386	0.7790745388
271	0.4994724381	0.7792166164
272	0.499081002	0.7796819462
273	0.4986312864	0.7801300337
274	0.4982327918	0.7801997362
275	0.4979621667	0.7812299708
276	0.4972391725	0.7820809705
277	0.4969739529	0.782270163
278	0.4966690317	0.782389653
279	0.4963208448	0.7830242603
280	0.4957056126	0.7834424752
281	0.4953879406	0.7837557699
282	0.4950080013	0.7843505472
283	0.4947411497	0.7845868545
284	0.4944457791	0.7846021574
285	0.4940593934	0.7847515199
286	0.4933522429	0.7842517054
287	0.4930002443	0.7853960847
288	0.4924465046	0.7865006339
289	0.4921683424	0.7872122285
290	0.4917862044	0.787951023
291	0.4915273123	0.7877373033
292	0.4913942429	0.7878269208
293	0.4907940828	0.7876430737
294	0.4903095266	0.7882949233
295	0.4899841526	0.788297596
296	0.489368462	0.7889620758
297	0.4890369097	0.7893550304
298	0.4887765672	0.7897108277
299	0.4883922359	0.7900991702
300	0.4878882355	0.7901615879
301	0.4876002206	0.7903932831
302	0.4868545102	0.7908559402
303	0.4866158577	0.7912714825
304	0.485926177	0.7913936452
305	0.4856950548	0.7920554523
306	0.4852715107	0.7923714196
307	0.4847795548	0.7933618242
308	0.48425772	0.7934740294
309	0.4840294351	0.7935039019
310	0.4833991076	0.7936804642
311	0.4830958123	0.7942154965
312	0.4825751761	0.7950366237
313	0.4821933929	0.7940841096
314	0.4819444401	0.7941239396
315	0.4815712902	0.7948581219
316	0.4807067745	0.795599589
317	0.4801908994	0.7967539257
318	0.4794992954	0.7984804521
319	0.4791133166	0.7990353994
320	0.4786961051	0.7993540394
321	0.4780375986	0.7995930194
322	0.4777838432	0.7995631469
323	0.4772912168	0.7998147571
324	0.4767669905	0.8009346092
325	0.4763886541	0.8010594445
326	0.4761188945	0.8010594445
327	0.4757709761	0.8015247744
328	0.4754016107	0.8015048594
329	0.4749475441	0.8023386167
330	0.4746631514	0.8023684892
331	0.4744701073	0.8024481492
332	0.4741443106	0.8026572566
333	0.4739053306	0.8027867041
334	0.4734967302	0.8037246486
335	0.4733953671	0.8037246486
336	0.4730855171	0.8039138411
337	0.4727847947	0.8039138411
338	0.4724325417	0.8037372788
339	0.4719661876	0.8043121411
340	0.471569408	0.8049567059
341	0.4713160719	0.8056257978
342	0.4708640653	0.8063573074
343	0.4704906435	0.8069647149
344	0.4700551368	0.8069447999
345	0.4696157027	0.8070045449
346	0.4693377394	0.8074771595
347	0.4690751239	0.8074400022
348	0.4683751078	0.8084323463
349	0.4680184322	0.8087682286
350	0.4672513201	0.8090669536
351	0.4668209009	0.8096418159
352	0.4663526797	0.8114254146
353	0.4660008032	0.8115376198
354	0.4656105907	0.8124529765
355	0.4653100924	0.813311261
356	0.46504788	0.8136571008
357	0.4648860596	0.8137168458
358	0.4644092832	0.8142744657
359	0.4639583783	0.8149489031
360	0.4636532231	0.8143495136
361	0.4632362554	0.8143993011
362	0.4628114089	0.8143123563
363	0.4624425548	0.8137129668
364	0.4621228898	0.8141782967
365	0.4617236054	0.8142878291
366	0.4612616014	0.8147432015
367	0.460503254	0.8158006359
368	0.4601145236	0.8161391909
369	0.4596802122	0.8169304455
370	0.45928866	0.8172862428
371	0.4590124934	0.8171023957
372	0.4587434187	0.8173287455
373	0.4583404273	0.8180204251
374	0.4575203954	0.8175677255
375	0.457190805	0.8183689376
376	0.4568352022	0.8185183001
377	0.4566029426	0.8188070676
378	0.4562627873	0.8188468976
379	0.4561360748	0.8189962601
380	0.4554896165	0.8195286197
381	0.4553202297	0.8192923124
382	0.4550633479	0.8193348151
383	0.454885946	0.8197105274
384	0.4544131195	0.8198725201
385	0.4541254237	0.8202283174
386	0.4536788393	0.8207434347
387	0.4532665312	0.8216986214
388	0.4528956867	0.8216216341
389	0.4524186715	0.8222363264
390	0.4521556914	0.8223359014
391	0.4518574971	0.8225450089
392	0.4513679589	0.8229532664
393	0.4510535899	0.8233515664
394	0.4506447821	0.8238494414
395	0.450205371	0.8247375983
396	0.4498529579	0.8257226576
397	0.4493513421	0.8261083274
398	0.449077496	0.8265736572
399	0.4488188354	0.8267130622
400	0.4485115716	0.8270887745
401	0.4480977975	0.8279171864
402	0.447750234	0.8282756564
403	0.4472835758	0.8288903487
404	0.4468285348	0.8297015183
405	0.4464630718	0.8303434105
406	0.4461702957	0.8309581028
407	0.4457534048	0.8316099524
408	0.4454342642	0.8320182099
409	0.4452421635	0.8326972593
410	0.4450811536	0.8327968343
411	0.4447310874	0.8329661118
412	0.4445473966	0.8324237947
413	0.4442372467	0.8325459574
414	0.4439206395	0.8326455324
415	0.4435718816	0.8327550648
416	0.4431085459	0.8340985941
417	0.4424826274	0.8341935569
418	0.4422183071	0.8344922819
419	0.4418058956	0.8357163212
420	0.4413587163	0.8357588239
421	0.4407872734	0.8368832881
422	0.4402821998	0.836998166
423	0.4398963619	0.8377668329
424	0.4395786718	0.8381053879
425	0.439260465	0.8383244529
426	0.439109693	0.8378246385
427	0.4387206401	0.8387426679
428	0.4385482619	0.8388250006
429	0.4383014426	0.8389942781
430	0.4379648288	0.8386039961
431	0.4375352899	0.8390991984
432	0.4372261698	0.8394948257
433	0.4370029457	0.8396043582
434	0.4368236717	0.8395545707
435	0.4365535658	0.8397364784
436	0.4362213487	0.8396296186
437	0.4358885523	0.8399482586
438	0.435692075	0.8403339284
439	0.4354193974	0.8400604638
440	0.4349120667	0.8407747311
441	0.4345140501	0.8419688978
442	0.4341341915	0.8420114005
443	0.4340351623	0.8425338026
444	0.4336681064	0.8426061778
445	0.433345637	0.8431013801
446	0.4329906618	0.8436264549
447	0.4326437663	0.8437658599
448	0.4322789104	0.8436118853
449	0.4319083689	0.8438535379
450	0.4315708135	0.8444257276
451	0.4311946511	0.84473441
452	0.4308999918	0.8455754522
453	0.4304982772	0.8463965793
454	0.4303740006	0.8459737522
455	0.4302719497	0.8458668923
456	0.4299482486	0.8465286995
457	0.4296334416	0.846578487
458	0.4291802989	0.8474666439
459	0.4285348858	0.8475038012
460	0.4283732952	0.8470039868
461	0.4279951651	0.8472801241
462	0.4275585099	0.8480342214
463	0.4271807855	0.848705986
464	0.4268461638	0.8489947535
465	0.4265816345	0.8495968156
466	0.4262487785	0.8497886808
467	0.4260524112	0.8497116935
468	0.4258517149	0.849761481
469	0.4254262897	0.8497044086
470	0.4249288148	0.8505056208
471	0.4247148788	0.8509782354
472	0.4242223499	0.8510904406
473	0.4239487904	0.8513367054
474	0.4232935792	0.8516208607
475	0.4228472352	0.8518272956
476	0.4224669898	0.852665665
477	0.4220593661	0.85304405
478	0.4217121308	0.8531535825
479	0.421327407	0.8532857027
480	0.4210942372	0.8534051926
481	0.4205725103	0.8529226205
482	0.4201633287	0.853151643
483	0.4198902535	0.853490198
484	0.4195369557	0.8535798155
485	0.4192676909	0.8544878874
486	0.4189366469	0.8552691846
487	0.4185117014	0.8551849124
488	0.4181416432	0.8552745299
489	0.4177771531	0.8557471445
490	0.4174771841	0.855896507
491	0.4171702715	0.856095657
492	0.416952685	0.8562450195
493	0.4166336942	0.856394382
494	0.4162136565	0.8569619595
495	0.4158999826	0.8571411945
496	0.4154811513	0.8574598345
497	0.4153629559	0.8577857593
498	0.4149366125	0.8578952918
499	0.4148125582	0.8578255893
